"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2","1","1","1","1","2","1","2","1","1","2","1","2","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","1"
"3","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"4","2","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","1","2"
"5","1","1","2","2","1","2","1","1","1","1","2","1","1","1","1","2","2","2","1","2","2","2","2","2","1","1","2","2","2","2"
"6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"7","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"8","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"9","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"10","2","1","1","1","1","1","1","1","2","1","2","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"11","1","1","1","1","2","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1"
"12","1","1","1","2","2","2","1","1","1","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"13","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","1","1","2","1","2","1","2","2","1","1"
"14","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"15","1","2","2","1","1","2","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"16","1","2","1","2","2","1","1","1","2","2","1","1","1","1","1","2","2","2","2","2","1","1","2","2","1","1","2","2","2","1"
"17","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"18","2","2","2","2","1","1","1","2","1","2","1","2","2","2","1","2","2","2","2","1","1","2","2","2","1","1","1","2","2","1"
"19","2","2","1","1","2","2","1","2","1","1","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"20","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"21","1","1","1","1","1","2","1","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2"
"22","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"23","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2"
"24","1","1","1","1","2","1","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2"
"25","2","2","2","2","2","1","1","1","2","1","1","1","1","2","1","1","2","2","2","1","1","1","2","1","2","2","1","1","2","1"
"26","2","2","2","2","2","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1"
"27","1","1","2","1","1","1","1","1","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"28","1","2","1","1","1","2","1","1","1","1","1","2","1","1","1","1","2","2","1","1","2","1","2","2","2","2","2","2","2","2"
"29","1","2","1","2","2","2","1","2","2","1","2","1","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1"
"30","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"31","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"32","2","2","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"33","1","1","1","1","2","1","2","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"34","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","2","2","2","2","2","1","2","2","2","1","1","2","2","2"
